bootstrap_id,segmentation_method,model,accuracy,precision,recall,f1,balanced_accuracy
25,tip_middle_root_1_3_1,SVM,0.5740640627111772,0.5193577430972389,0.46565357054608353,0.482,0.5666033810177226
25,tip_middle_root_1_3_1,Random Forest,0.6174708293913592,0.5874951606658924,0.46911292315295283,0.5083333333333333,0.6066869207030161
25,tip_middle_root_1_3_1,CNN,0.6148803892417893,0.4686181434599156,0.42055843834939466,0.4264197530864198,0.5729611900593559
26,tip_middle_root_1_2_2,SVM,0.5602876518369476,0.5010714981492305,0.5029239766081871,0.501850769530489,0.5533633549113426
26,tip_middle_root_1_2_2,Random Forest,0.5893322900365153,0.5485264227642277,0.47748538011695907,0.5103543743078627,0.5751063264221159
26,tip_middle_root_1_2_2,CNN,0.6255309635591326,0.5787545787545787,0.6464912280701754,0.5859830418653948,0.6391101416643212
26,tip_middle_root_1_3_1,SVM,0.5726209106490796,0.5149551345962113,0.5116959064327485,0.5130541871921183,0.5657410013447165
26,tip_middle_root_1_3_1,Random Forest,0.6316417020642373,0.6069444444444445,0.5052631578947369,0.5509803921568628,0.6154955123995371
26,tip_middle_root_1_3_1,CNN,0.5400924062895893,0.5222222222222221,0.38245614035087716,0.36996047430830037,0.5386731087969479
27,tip_middle_root_1_2_2,SVM,0.5904262006537591,0.42559523809523814,0.46311475409836067,0.44143632462451093,0.5557114318749942
27,tip_middle_root_1_2_2,Random Forest,0.6237113402061856,0.4675601583917149,0.4385245901639344,0.45071553738317754,0.5757014726947599
27,tip_middle_root_1_2_2,CNN,0.6174566255971838,0.4620319001386962,0.5907292255511589,0.5048574613792005,0.6164489931296628
27,tip_middle_root_1_3_1,SVM,0.6136535076690973,0.4363929146537842,0.44544940644431885,0.4398351648351648,0.5693123674140498
27,tip_middle_root_1_3_1,Random Forest,0.664288408348001,0.517094017094017,0.39499717354437536,0.44580905423576866,0.5952712880857228
27,tip_middle_root_1_3_1,CNN,0.6125220015086749,0.4380551659654044,0.40912945166760883,0.3759854935351624,0.5724973357709832
28,tip_middle_root_1_2_2,SVM,0.6077232331781633,0.4932382591590853,0.5238095238095237,0.5072053694808185,0.5854183078170131
28,tip_middle_root_1_2_2,Random Forest,0.5897799407532798,0.4892857142857143,0.42261904761904767,0.45196615231458437,0.5602666084415067
28,tip_middle_root_1_2_2,CNN,0.5560516292848074,0.49441548771407295,0.5178571428571429,0.46758494031221304,0.5725823714765216
28,tip_middle_root_1_3_1,SVM,0.6498942022852306,0.5442073170731707,0.5238095238095238,0.5337937114310902,0.6179944286513455
28,tip_middle_root_1_3_1,Random Forest,0.6414092255607279,0.5583566760037348,0.43452380952380953,0.48854278553526675,0.6004433960110057
28,tip_middle_root_1_3_1,CNN,0.5269784172661871,0.41739766081871343,0.3630952380952381,0.3154488162152955,0.5339211505748307
29,tip_middle_root_1_2_2,SVM,0.6413582402234637,0.5992822966507177,0.5749496981891349,0.58074580300104,0.6337711453908637
29,tip_middle_root_1_2_2,Random Forest,0.657786312849162,0.6210397144132084,0.5677062374245473,0.5870339338081274,0.6468160816752366
29,tip_middle_root_1_2_2,CNN,0.6199546089385475,0.5116337462336793,0.6117706237424547,0.5463996056817673,0.6128297563156717
29,tip_middle_root_1_3_1,SVM,0.6469448324022347,0.6066933638443937,0.5960764587525151,0.5935945123423989,0.642019710857739
29,tip_middle_root_1_3_1,Random Forest,0.6919692737430168,0.6666260954235638,0.5888329979879277,0.6191256830601093,0.679138721216186
29,tip_middle_root_1_3_1,CNN,0.5786662011173185,0.4639945652173913,0.43440643863179074,0.422509888529306,0.5509995156121916
30,tip_middle_root_1_2_2,SVM,0.6490699640667934,0.5263888888888889,0.5626585489599188,0.5426253259924659,0.6305001928473064
30,tip_middle_root_1_2_2,Random Forest,0.7116184034383146,0.6041666666666667,0.5993150684931507,0.6017241379310345,0.6858182485322897
30,tip_middle_root_1_2_2,CNN,0.6000669344042838,0.46335447498238197,0.5046930492135971,0.4749460561016543,0.5686730552190435
30,tip_middle_root_1_3_1,SVM,0.6433100824350032,0.5171164417791104,0.5143328259766615,0.5152162977867203,0.6152659027842492
30,tip_middle_root_1_3_1,Random Forest,0.7122349045304024,0.6292758089368259,0.5678589548452562,0.5950097303308313,0.6844396815042608
30,tip_middle_root_1_3_1,CNN,0.596702599873177,0.36392009987515606,0.3452562151192288,0.33333333333333337,0.5291332096004308
31,tip_middle_root_1_2_2,SVM,0.6332859848484849,0.5027472527472527,0.6518895348837209,0.5613397901533494,0.6401682797785804
31,tip_middle_root_1_2_2,Random Forest,0.6181344696969697,0.47582417582417585,0.5581395348837209,0.511824408779561,0.6018402883255889
31,tip_middle_root_1_2_2,CNN,0.6162878787878787,0.4790370127743203,0.6153100775193798,0.5267977636398689,0.5886984188596738
31,tip_middle_root_1_3_1,SVM,0.6285037878787879,0.49742424242424244,0.624031007751938,0.5475189234650968,0.6305125204861931
31,tip_middle_root_1_3_1,Random Forest,0.6571022727272727,0.5307017543859649,0.5382751937984496,0.5315696649029982,0.6321435636787764
31,tip_middle_root_1_3_1,CNN,0.640625,0.44166666666666665,0.45663759689922484,0.421837624876882,0.5710457779690448
32,tip_middle_root_1_2_2,SVM,0.5897963293251252,0.5349273323956868,0.5036764705882353,0.5158537991467773,0.5803470072239422
32,tip_middle_root_1_2_2,Random Forest,0.6279989643863989,0.5764705882352941,0.5854779411764706,0.5768244682771819,0.6251951109391125
32,tip_middle_root_1_2_2,CNN,0.6122633910592026,0.5580893393393394,0.5658700980392157,0.5291666666666667,0.5767946981424148
32,tip_middle_root_1_3_1,SVM,0.5849490823312813,0.5328947368421053,0.4776348039215686,0.5003229974160207,0.5739051212590299
32,tip_middle_root_1_3_1,Random Forest,0.6477475404176974,0.6167681766273315,0.5386029411764706,0.5698321666526103,0.6390383126934984
