segmentation_method,model,color,fold,train_samples,test_samples,train_patients,test_patients,accuracy,precision,recall,f1,balanced_accuracy
tip_middle_root_1_3_1,Random Forest,鮮紅,2,277,71,70,16,0.8732394366197183,0.8421052631578947,0.7272727272727273,0.7804878048780488,0.8330241187384044
tip_middle_root_1_3_1,Random Forest,鮮紅,3,278,70,70,16,0.7857142857142857,0.5925925925925926,0.8,0.6808510638297872,0.79
tip_middle_root_1_3_1,Random Forest,鮮紅,4,279,69,68,18,0.8260869565217391,0.7647058823529411,0.6190476190476191,0.6842105263157895,0.7678571428571428
tip_middle_root_1_3_1,Random Forest,鮮紅,5,279,69,68,18,0.6521739130434783,0.4166666666666667,0.5,0.45454545454545453,0.6071428571428572
tip_middle_root_1_2_2,SVM,暗紅,1,316,78,79,19,0.5384615384615384,0.2,0.3333333333333333,0.25,0.4666666666666667
tip_middle_root_1_2_2,SVM,暗紅,2,314,80,77,21,0.5625,0.2222222222222222,0.3,0.2553191489361702,0.475
tip_middle_root_1_2_2,SVM,暗紅,3,316,78,79,19,0.46153846153846156,0.1891891891891892,0.3684210526315789,0.25,0.4299732381801963
tip_middle_root_1_2_2,SVM,暗紅,4,316,78,77,21,0.6923076923076923,0.38095238095238093,0.42105263157894735,0.4,0.60035682426405
tip_middle_root_1_2_2,SVM,暗紅,5,314,80,80,18,0.525,0.2978723404255319,0.7368421052631579,0.42424242424242425,0.5979292493528904
tip_middle_root_1_2_2,Random Forest,暗紅,1,316,78,79,19,0.6794871794871795,0.1111111111111111,0.05555555555555555,0.07407407407407407,0.46111111111111114
tip_middle_root_1_2_2,Random Forest,暗紅,2,314,80,77,21,0.6375,0.23529411764705882,0.2,0.21621621621621623,0.4916666666666667
tip_middle_root_1_2_2,Random Forest,暗紅,3,316,78,79,19,0.5897435897435898,0.21739130434782608,0.2631578947368421,0.23809523809523808,0.47903657448706516
tip_middle_root_1_2_2,Random Forest,暗紅,4,316,78,77,21,0.6666666666666666,0.26666666666666666,0.21052631578947367,0.23529411764705882,0.512042818911686
tip_middle_root_1_2_2,Random Forest,暗紅,5,314,80,80,18,0.675,0.3333333333333333,0.3684210526315789,0.35,0.5694564279551337
tip_middle_root_1_3_1,SVM,暗紅,1,316,78,79,19,0.5512820512820513,0.16,0.2222222222222222,0.18604651162790697,0.4361111111111111
tip_middle_root_1_3_1,SVM,暗紅,2,314,80,77,21,0.5875,0.30303030303030304,0.5,0.37735849056603776,0.5583333333333333
tip_middle_root_1_3_1,SVM,暗紅,3,316,78,79,19,0.5641025641025641,0.2413793103448276,0.3684210526315789,0.2916666666666667,0.49776984834968774
tip_middle_root_1_3_1,SVM,暗紅,4,316,78,77,21,0.6923076923076923,0.38095238095238093,0.42105263157894735,0.4,0.60035682426405
tip_middle_root_1_3_1,SVM,暗紅,5,314,80,80,18,0.6625,0.4,0.8421052631578947,0.5423728813559322,0.7243313201035375
tip_middle_root_1_3_1,Random Forest,暗紅,1,316,78,79,19,0.6282051282051282,0.07692307692307693,0.05555555555555555,0.06451612903225806,0.4277777777777778
tip_middle_root_1_3_1,Random Forest,暗紅,2,314,80,77,21,0.6,0.22727272727272727,0.25,0.23809523809523808,0.48333333333333334
tip_middle_root_1_3_1,Random Forest,暗紅,3,316,78,79,19,0.6794871794871795,0.3125,0.2631578947368421,0.2857142857142857,0.5383586083853702
tip_middle_root_1_3_1,Random Forest,暗紅,4,316,78,77,21,0.6282051282051282,0.08333333333333333,0.05263157894736842,0.06451612903225806,0.43309545049063336
tip_middle_root_1_3_1,Random Forest,暗紅,5,314,80,80,18,0.675,0.34782608695652173,0.42105263157894735,0.38095238095238093,0.5875754961173425
tip_middle_root_1_2_2,SVM,青紫,1,318,80,79,21,0.85,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6244131455399061
tip_middle_root_1_2_2,SVM,青紫,2,313,85,81,19,0.7058823529411765,0.17391304347826086,0.4,0.24242424242424243,0.5733333333333334
tip_middle_root_1_2_2,SVM,青紫,3,322,76,80,20,0.8421052631578947,0.45,0.9,0.6,0.8666666666666667
tip_middle_root_1_2_2,SVM,青紫,4,320,78,80,20,0.6025641025641025,0.07692307692307693,0.2222222222222222,0.11428571428571428,0.43719806763285024
tip_middle_root_1_2_2,SVM,青紫,5,319,79,80,20,0.6962025316455697,0.26666666666666666,0.8,0.4,0.7405797101449276
tip_middle_root_1_2_2,Random Forest,青紫,1,318,80,79,21,0.9,1.0,0.1111111111111111,0.2,0.5555555555555556
tip_middle_root_1_2_2,Random Forest,青紫,2,313,85,81,19,0.8,0.0,0.0,0.0,0.4533333333333333
tip_middle_root_1_2_2,Random Forest,青紫,3,322,76,80,20,0.881578947368421,0.6666666666666666,0.2,0.3076923076923077,0.5924242424242424
tip_middle_root_1_2_2,Random Forest,青紫,4,320,78,80,20,0.717948717948718,0.0,0.0,0.0,0.4057971014492754
tip_middle_root_1_2_2,Random Forest,青紫,5,319,79,80,20,0.7721518987341772,0.3,0.6,0.4,0.6985507246376812
tip_middle_root_1_3_1,SVM,青紫,1,318,80,79,21,0.8625,0.375,0.3333333333333333,0.35294117647058826,0.6314553990610329
tip_middle_root_1_3_1,SVM,青紫,2,313,85,81,19,0.7058823529411765,0.10526315789473684,0.2,0.13793103448275862,0.4866666666666667
tip_middle_root_1_3_1,SVM,青紫,3,322,76,80,20,0.8026315789473685,0.391304347826087,0.9,0.5454545454545454,0.843939393939394
tip_middle_root_1_3_1,SVM,青紫,4,320,78,80,20,0.5769230769230769,0.07142857142857142,0.2222222222222222,0.10810810810810811,0.4227053140096618
tip_middle_root_1_3_1,SVM,青紫,5,319,79,80,20,0.7088607594936709,0.27586206896551724,0.8,0.41025641025641024,0.7478260869565218
tip_middle_root_1_3_1,Random Forest,青紫,1,318,80,79,21,0.875,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.5414710485133021
tip_middle_root_1_3_1,Random Forest,青紫,2,313,85,81,19,0.788235294117647,0.1,0.1,0.1,0.49
tip_middle_root_1_3_1,Random Forest,青紫,3,322,76,80,20,0.881578947368421,0.6,0.3,0.4,0.6348484848484849
tip_middle_root_1_3_1,Random Forest,青紫,4,320,78,80,20,0.7435897435897436,0.0,0.0,0.0,0.42028985507246375
tip_middle_root_1_3_1,Random Forest,青紫,5,319,79,80,20,0.7974683544303798,0.3125,0.5,0.38461538461538464,0.6702898550724637
