segmentation_method,model,region,n_common_colors,common_colors,n_binary_decisions,n_patients,macro_accuracy,macro_precision,macro_recall,macro_f1,macro_balanced_accuracy,micro_accuracy,micro_precision,micro_recall,micro_f1,micro_balanced_accuracy,micro_TN,micro_FP,micro_FN,micro_TP,macro_f1_rank,micro_f1_rank
tip_middle_root_1_3_1,SVM,舌中,5,"淡紅,淡白,鮮紅,暗紅,青紫",394,100,0.7792367724241253,0.411281045751634,0.545889724310777,0.42240500240500245,0.6872524314778088,0.7791878172588832,0.3870967741935484,0.5454545454545454,0.4528301886792453,0.6858370288248337,271,57,30,36,4,4
tip_middle_root_1_3_1,SVM,舌左邊,5,"淡紅,淡白,鮮紅,暗紅,青紫",406,100,0.7181678084997941,0.3898812992281552,0.6722710622710623,0.4671679845360551,0.7078833600999628,0.7241379310344828,0.38636363636363635,0.6219512195121951,0.4766355140186916,0.6859756097560976,243,81,31,51,2,3
tip_middle_root_1_3_1,SVM,舌右邊,5,"淡紅,淡白,鮮紅,暗紅,青紫",401,100,0.7256916006833553,0.39451659451659443,0.6358674658674659,0.47115995222259227,0.6891273397094577,0.7331670822942643,0.40310077519379844,0.6341463414634146,0.4928909952606635,0.6963835155592935,242,77,30,52,1,1
tip_middle_root_1_3_1,SVM,舌根,5,"淡紅,淡白,鮮紅,暗紅,青紫",406,100,0.7864493785639326,0.28233766233766233,0.3019298245614035,0.2508943089430894,0.5694644435335213,0.7980295566502463,0.3150684931506849,0.41818181818181815,0.359375,0.6378658378658378,301,50,32,23,5,5
tip_middle_root_1_3_1,Random Forest,舌尖,5,"淡紅,淡白,鮮紅,暗紅,青紫",403,100,0.7751439579296658,0.304177807486631,0.30187969924812025,0.30133333333333334,0.5741225315844055,0.7841191066997518,0.4342105263157895,0.42857142857142855,0.43137254901960786,0.6483347940403155,283,43,44,33,4,4
tip_middle_root_1_3_1,Random Forest,舌中,5,"淡紅,淡白,鮮紅,暗紅,青紫",394,100,0.8309129494773643,0.4101863354037267,0.3396992481203008,0.36420168067226893,0.6243643147667451,0.8324873096446701,0.5,0.42424242424242425,0.45901639344262296,0.6694382852919438,300,28,38,28,2,3
tip_middle_root_1_3_1,Random Forest,舌左邊,5,"淡紅,淡白,鮮紅,暗紅,青紫",406,100,0.7825390507944172,0.3608543630282761,0.3787179487179487,0.36778839195252566,0.6178105855311994,0.7881773399014779,0.475,0.4634146341463415,0.4691358024691358,0.666892502258356,282,42,44,38,1,2
tip_middle_root_1_3_1,Random Forest,舌右邊,5,"淡紅,淡白,鮮紅,暗紅,青紫",401,100,0.7803359043157695,0.34603991596638656,0.3550449550449551,0.3481737895530999,0.6024265867476482,0.7855361596009975,0.47560975609756095,0.47560975609756095,0.47560975609756095,0.6704067589265235,276,43,43,39,3,1
tip_middle_root_1_3_1,Random Forest,舌根,5,"淡紅,淡白,鮮紅,暗紅,青紫",406,100,0.7876317906321102,0.2330952380952381,0.19929824561403509,0.21393939393939393,0.5377840430075803,0.8054187192118226,0.2391304347826087,0.2,0.21782178217821782,0.5501424501424501,316,35,44,11,5,5
tip_middle_root_1_3_1,CNN,舌尖,5,"淡紅,淡白,鮮紅,暗紅,青紫",403,100,0.7329294056334186,0.177988614800759,0.2699248120300752,0.20444444444444443,0.5174427867410716,0.7444168734491315,0.3617021276595745,0.44155844155844154,0.39766081871345027,0.6287546809019201,266,60,43,34,4,1
tip_middle_root_1_3_1,CNN,舌中,5,"淡紅,淡白,鮮紅,暗紅,青紫",394,100,0.5832810166804668,0.2245498462889767,0.338546365914787,0.2354657931786397,0.4874868579135934,0.5736040609137056,0.1554054054054054,0.3484848484848485,0.21495327102803738,0.4836936437546194,203,125,43,23,3,5
tip_middle_root_1_3_1,CNN,舌左邊,5,"淡紅,淡白,鮮紅,暗紅,青紫",406,100,0.6678660649407968,0.2882591093117409,0.36963369963369963,0.280641616448068,0.5412469608057331,0.6674876847290641,0.2809917355371901,0.4146341463414634,0.33497536945812806,0.5730578139114725,237,87,48,34,1,3
tip_middle_root_1_3_1,CNN,舌右邊,5,"淡紅,淡白,鮮紅,暗紅,青紫",401,100,0.674872601701867,0.21647552447552448,0.41120879120879117,0.2624146387474061,0.5619055806732116,0.6758104738154613,0.30952380952380953,0.47560975609756095,0.375,0.6014412416851441,232,87,43,39,2,2
tip_middle_root_1_3_1,CNN,舌根,5,"淡紅,淡白,鮮紅,暗紅,青紫",406,100,0.6670935739400645,0.1374054054054054,0.2735087719298246,0.14202898550724638,0.49717623771892017,0.6798029556650246,0.16216216216216217,0.32727272727272727,0.21686746987951808,0.5311577311577311,258,93,37,18,5,4
