segmentation_method,model,region,color,n_samples,n_patients,accuracy,precision,recall,f1,balanced_accuracy,TN,FP,FN,TP
tip_middle_root_1_3_1,Random Forest,舌左邊,暗紅,81,81,0.6296296296296297,0.25,0.25,0.25,0.5020491803278688,46,15,15,5
tip_middle_root_1_3_1,Random Forest,舌左邊,青紫,71,71,0.8169014084507042,0.36363636363636365,0.4,0.38095238095238093,0.6426229508196721,54,7,6,4
tip_middle_root_1_3_1,Random Forest,舌右邊,淡紅,83,83,0.7951807228915663,0.5882352941176471,0.5,0.5405405405405406,0.6944444444444444,56,7,10,10
tip_middle_root_1_3_1,Random Forest,舌右邊,淡白,93,93,0.9354838709677419,0.0,0.0,0.0,0.4887640449438202,87,2,4,0
tip_middle_root_1_3_1,Random Forest,舌右邊,鮮紅,73,73,0.7808219178082192,0.65625,0.8076923076923077,0.7241379310344828,0.7868248772504092,36,11,5,21
tip_middle_root_1_3_1,Random Forest,舌右邊,暗紅,81,81,0.6296296296296297,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.5178571428571428,45,15,15,6
tip_middle_root_1_3_1,Random Forest,舌右邊,青紫,71,71,0.7605633802816901,0.2,0.18181818181818182,0.19047619047619047,0.5242424242424243,52,8,9,2
tip_middle_root_1_3_1,Random Forest,舌根,淡紅,78,78,0.7051282051282052,0.35714285714285715,0.2631578947368421,0.30303030303030304,0.555307760927743,50,9,14,5
tip_middle_root_1_3_1,Random Forest,舌根,淡白,95,95,0.9578947368421052,0.0,0.0,0.0,0.4945652173913043,91,1,3,0
tip_middle_root_1_3_1,Random Forest,舌根,鮮紅,63,63,0.8095238095238095,0.375,0.3,0.3333333333333333,0.6028301886792453,48,5,7,3
tip_middle_root_1_3_1,Random Forest,舌根,暗紅,73,73,0.5068493150684932,0.1,0.1,0.1,0.380188679245283,35,18,18,2
tip_middle_root_1_3_1,Random Forest,舌根,青紫,97,97,0.9587628865979382,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6560283687943262,92,2,2,1
tip_middle_root_1_3_1,CNN,舌尖,淡紅,77,77,0.7402597402597403,0.47058823529411764,0.42105263157894735,0.4444444444444444,0.632940108892922,49,9,11,8
tip_middle_root_1_3_1,CNN,舌尖,淡白,94,94,0.9148936170212766,0.0,0.0,0.0,0.4673913043478261,86,6,2,0
tip_middle_root_1_3_1,CNN,舌尖,鮮紅,72,72,0.4722222222222222,0.41935483870967744,0.9285714285714286,0.5777777777777777,0.5551948051948052,8,36,2,26
tip_middle_root_1_3_1,CNN,舌尖,暗紅,81,81,0.7777777777777778,0.0,0.0,0.0,0.4701492537313433,63,4,14,0
tip_middle_root_1_3_1,CNN,舌尖,青紫,79,79,0.759493670886076,0.0,0.0,0.0,0.46153846153846156,60,5,14,0
tip_middle_root_1_3_1,CNN,舌中,淡紅,74,74,0.6891891891891891,0.4090909090909091,0.47368421052631576,0.43902439024390244,0.6186602870813397,42,13,10,9
tip_middle_root_1_3_1,CNN,舌中,淡白,95,95,0.5052631578947369,0.021739130434782608,0.3333333333333333,0.04081632653061224,0.4221014492753623,47,45,2,1
tip_middle_root_1_3_1,CNN,舌中,鮮紅,67,67,0.7761194029850746,0.4444444444444444,0.2857142857142857,0.34782608695652173,0.5956873315363882,48,5,10,4
tip_middle_root_1_3_1,CNN,舌中,暗紅,78,78,0.3333333333333333,0.13636363636363635,0.3,0.1875,0.3224137931034483,20,38,14,6
tip_middle_root_1_3_1,CNN,舌中,青紫,80,80,0.6125,0.1111111111111111,0.3,0.16216216216216217,0.47857142857142854,46,24,7,3
tip_middle_root_1_3_1,CNN,舌左邊,淡紅,86,86,0.627906976744186,0.21052631578947367,0.19047619047619047,0.2,0.47985347985347987,50,15,17,4
tip_middle_root_1_3_1,CNN,舌左邊,淡白,95,95,0.7157894736842105,0.07692307692307693,0.4,0.12903225806451613,0.5666666666666667,66,24,3,2
tip_middle_root_1_3_1,CNN,舌左邊,鮮紅,73,73,0.5068493150684932,0.40384615384615385,0.8076923076923077,0.5384615384615384,0.5740589198036007,16,31,5,21
tip_middle_root_1_3_1,CNN,舌左邊,暗紅,81,81,0.6296296296296297,0.25,0.25,0.25,0.5020491803278688,46,15,15,5
tip_middle_root_1_3_1,CNN,舌左邊,青紫,71,71,0.8591549295774648,0.5,0.2,0.2857142857142857,0.5836065573770491,59,2,8,2
tip_middle_root_1_3_1,CNN,舌右邊,淡紅,83,83,0.6746987951807228,0.18181818181818182,0.1,0.12903225806451613,0.47857142857142854,54,9,18,2
tip_middle_root_1_3_1,CNN,舌右邊,淡白,93,93,0.7204301075268817,0.07692307692307693,0.5,0.13333333333333333,0.6151685393258427,65,24,2,2
tip_middle_root_1_3_1,CNN,舌右邊,鮮紅,73,73,0.589041095890411,0.46,0.8846153846153846,0.6052631578947368,0.6550736497545008,20,27,3,23
tip_middle_root_1_3_1,CNN,舌右邊,暗紅,81,81,0.6296296296296297,0.36363636363636365,0.5714285714285714,0.4444444444444444,0.6107142857142858,39,21,9,12
tip_middle_root_1_3_1,CNN,舌右邊,青紫,71,71,0.7605633802816901,0.0,0.0,0.0,0.45,54,6,11,0
tip_middle_root_1_3_1,CNN,舌根,淡紅,78,78,0.44871794871794873,0.26,0.6842105263157895,0.37681159420289856,0.5285459411239964,22,37,6,13
tip_middle_root_1_3_1,CNN,舌根,淡白,95,95,0.6,0.02702702702702703,0.3333333333333333,0.05,0.47101449275362317,56,36,2,1
tip_middle_root_1_3_1,CNN,舌根,鮮紅,63,63,0.6190476190476191,0.15,0.3,0.2,0.4896226415094339,36,17,7,3
tip_middle_root_1_3_1,CNN,舌根,暗紅,73,73,0.6986301369863014,0.25,0.05,0.08333333333333333,0.4966981132075472,50,3,19,1
tip_middle_root_1_3_1,CNN,舌根,青紫,97,97,0.9690721649484536,0.0,0.0,0.0,0.5,94,0,3,0
