segmentation_method,model,region,color,n_samples,n_patients,accuracy,precision,recall,f1,balanced_accuracy,TN,FP,FN,TP
tip_middle_root_1_3_1,SVM,舌左邊,暗紅,46,46,0.717391304347826,0.375,0.2727272727272727,0.3157894736842105,0.5649350649350648,30,5,8,3
tip_middle_root_1_3_1,SVM,舌左邊,青紫,38,38,0.6842105263157895,0.09090909090909091,0.3333333333333333,0.14285714285714285,0.5238095238095238,25,10,2,1
tip_middle_root_1_3_1,SVM,舌右邊,淡紅,44,44,0.6590909090909091,0.5,0.6,0.5454545454545454,0.6448275862068966,20,9,6,9
tip_middle_root_1_3_1,SVM,舌右邊,鮮紅,45,45,0.8222222222222222,0.6842105263157895,0.8666666666666667,0.7647058823529411,0.8333333333333334,24,6,2,13
tip_middle_root_1_3_1,SVM,舌右邊,暗紅,45,45,0.6222222222222222,0.25,0.2727272727272727,0.2608695652173913,0.5040106951871658,25,9,8,3
tip_middle_root_1_3_1,SVM,舌右邊,青紫,37,37,0.7297297297297297,0.2,0.5,0.2857142857142857,0.6287878787878788,25,8,2,2
tip_middle_root_1_3_1,SVM,舌根,淡紅,38,38,0.6578947368421053,0.4444444444444444,0.3333333333333333,0.38095238095238093,0.5705128205128205,21,5,8,4
tip_middle_root_1_3_1,SVM,舌根,鮮紅,37,37,0.8378378378378378,0.0,0.0,0.0,0.4696969696969697,31,2,4,0
tip_middle_root_1_3_1,SVM,舌根,暗紅,41,41,0.43902439024390244,0.3076923076923077,0.6153846153846154,0.41025641025641024,0.4862637362637363,10,18,5,8
tip_middle_root_1_3_1,SVM,舌根,青紫,52,52,0.9423076923076923,0.0,0.0,0.0,0.4803921568627451,49,2,1,0
tip_middle_root_1_3_1,Random Forest,舌尖,淡紅,40,40,0.725,0.6363636363636364,0.5,0.56,0.6730769230769231,22,4,7,7
tip_middle_root_1_3_1,Random Forest,舌尖,鮮紅,42,42,0.7619047619047619,0.6111111111111112,0.7857142857142857,0.6875,0.7678571428571428,21,7,3,11
tip_middle_root_1_3_1,Random Forest,舌尖,暗紅,43,43,0.7209302325581395,0.0,0.0,0.0,0.40789473684210525,31,7,5,0
tip_middle_root_1_3_1,Random Forest,舌尖,青紫,43,43,0.813953488372093,0.25,0.16666666666666666,0.2,0.5427927927927928,34,3,5,1
tip_middle_root_1_3_1,Random Forest,舌中,淡紅,36,36,0.75,0.625,0.7692307692307693,0.6896551724137931,0.754180602006689,17,6,3,10
tip_middle_root_1_3_1,Random Forest,舌中,鮮紅,40,40,0.875,1.0,0.2857142857142857,0.4444444444444444,0.6428571428571428,33,0,5,2
tip_middle_root_1_3_1,Random Forest,舌中,暗紅,46,46,0.717391304347826,0.4444444444444444,0.3333333333333333,0.38095238095238093,0.5931372549019608,29,5,8,4
tip_middle_root_1_3_1,Random Forest,舌中,青紫,44,44,0.8863636363636364,0.3333333333333333,0.25,0.2857142857142857,0.6,38,2,3,1
tip_middle_root_1_3_1,Random Forest,舌左邊,淡紅,46,46,0.6739130434782609,0.5294117647058824,0.5625,0.5454545454545454,0.6479166666666667,22,8,7,9
tip_middle_root_1_3_1,Random Forest,舌左邊,鮮紅,45,45,0.8,0.6875,0.7333333333333333,0.7096774193548387,0.7833333333333333,25,5,4,11
tip_middle_root_1_3_1,Random Forest,舌左邊,暗紅,46,46,0.6521739130434783,0.2222222222222222,0.18181818181818182,0.2,0.49090909090909096,28,7,9,2
tip_middle_root_1_3_1,Random Forest,舌左邊,青紫,38,38,0.868421052631579,0.0,0.0,0.0,0.4714285714285714,33,2,3,0
tip_middle_root_1_3_1,Random Forest,舌右邊,淡紅,44,44,0.7045454545454546,0.5714285714285714,0.5333333333333333,0.5517241379310345,0.6632183908045977,23,6,7,8
tip_middle_root_1_3_1,Random Forest,舌右邊,鮮紅,45,45,0.8444444444444444,0.7222222222222222,0.8666666666666667,0.7878787878787878,0.8500000000000001,25,5,2,13
tip_middle_root_1_3_1,Random Forest,舌右邊,暗紅,45,45,0.6,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.4585561497326204,25,9,9,2
tip_middle_root_1_3_1,Random Forest,舌右邊,青紫,37,37,0.8378378378378378,0.0,0.0,0.0,0.4696969696969697,31,2,4,0
tip_middle_root_1_3_1,Random Forest,舌根,淡紅,38,38,0.6842105263157895,0.5,0.25,0.3333333333333333,0.5673076923076923,23,3,9,3
tip_middle_root_1_3_1,Random Forest,舌根,鮮紅,37,37,0.7837837837837838,0.0,0.0,0.0,0.4393939393939394,29,4,4,0
tip_middle_root_1_3_1,Random Forest,舌根,暗紅,41,41,0.6097560975609756,0.36363636363636365,0.3076923076923077,0.3333333333333333,0.5288461538461539,21,7,9,4
tip_middle_root_1_3_1,Random Forest,舌根,青紫,52,52,0.9807692307692307,0.0,0.0,0.0,0.5,51,0,1,0
tip_middle_root_1_3_1,CNN,舌尖,淡紅,40,40,0.65,0.5,0.07142857142857142,0.125,0.5164835164835165,25,1,13,1
tip_middle_root_1_3_1,CNN,舌尖,鮮紅,42,42,0.40476190476190477,0.34285714285714286,0.8571428571428571,0.4897959183673469,0.5178571428571428,5,23,2,12
tip_middle_root_1_3_1,CNN,舌尖,暗紅,43,43,0.5581395348837209,0.0625,0.2,0.09523809523809523,0.40263157894736845,23,15,4,1
tip_middle_root_1_3_1,CNN,舌尖,青紫,43,43,0.7441860465116279,0.0,0.0,0.0,0.43243243243243246,32,5,6,0
tip_middle_root_1_3_1,CNN,舌中,淡紅,36,36,0.3888888888888889,0.23529411764705882,0.3076923076923077,0.26666666666666666,0.3712374581939799,10,13,9,4
tip_middle_root_1_3_1,CNN,舌中,鮮紅,40,40,0.675,0.3125,0.7142857142857143,0.43478260869565216,0.6904761904761905,22,11,2,5
tip_middle_root_1_3_1,CNN,舌中,暗紅,46,46,0.391304347826087,0.2647058823529412,0.75,0.391304347826087,0.5073529411764706,9,25,3,9
tip_middle_root_1_3_1,CNN,舌中,青紫,44,44,0.5227272727272727,0.13043478260869565,0.75,0.2222222222222222,0.625,20,20,1,3
tip_middle_root_1_3_1,CNN,舌左邊,淡紅,46,46,0.6086956521739131,0.25,0.0625,0.1,0.48125,27,3,15,1
tip_middle_root_1_3_1,CNN,舌左邊,鮮紅,45,45,0.5111111111111111,0.4,0.9333333333333333,0.56,0.6166666666666667,9,21,1,14
tip_middle_root_1_3_1,CNN,舌左邊,暗紅,46,46,0.5,0.2857142857142857,0.7272727272727273,0.41025641025641024,0.577922077922078,15,20,3,8
tip_middle_root_1_3_1,CNN,舌左邊,青紫,38,38,0.7105263157894737,0.0,0.0,0.0,0.38571428571428573,27,8,3,0
tip_middle_root_1_3_1,CNN,舌右邊,淡紅,44,44,0.6590909090909091,0.5,0.13333333333333333,0.21052631578947367,0.532183908045977,27,2,13,2
tip_middle_root_1_3_1,CNN,舌右邊,鮮紅,45,45,0.4666666666666667,0.37142857142857144,0.8666666666666667,0.52,0.5666666666666667,8,22,2,13
tip_middle_root_1_3_1,CNN,舌右邊,暗紅,45,45,0.4666666666666667,0.2903225806451613,0.8181818181818182,0.42857142857142855,0.5855614973262032,12,22,2,9
tip_middle_root_1_3_1,CNN,舌右邊,青紫,37,37,0.7027027027027027,0.1111111111111111,0.25,0.15384615384615385,0.5037878787878788,25,8,3,1
tip_middle_root_1_3_1,CNN,舌根,淡紅,38,38,0.5526315789473685,0.3333333333333333,0.4166666666666667,0.37037037037037035,0.5160256410256411,16,10,7,5
tip_middle_root_1_3_1,CNN,舌根,鮮紅,37,37,0.7837837837837838,0.25,0.5,0.3333333333333333,0.6590909090909092,27,6,2,2
tip_middle_root_1_3_1,CNN,舌根,暗紅,41,41,0.6341463414634146,0.4166666666666667,0.38461538461538464,0.4,0.5673076923076923,21,7,8,5
tip_middle_root_1_3_1,CNN,舌根,青紫,52,52,0.9807692307692307,0.0,0.0,0.0,0.5,51,0,1,0
