delta_accuracy,delta_f1,delta_balanced_accuracy,model,color,method_a,method_b
0.0091324200913242,0.013986013986013957,0.011858349577647864,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.040000000000000036,0.0398252184769039,0.040000000000000036,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
-0.009950248756218971,-0.022230548270263495,-0.015165728580362692,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.029126213592232997,0.04228329809725151,0.03757166257166267,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
-0.010471204188481686,-0.03506192803851671,-0.0227112676056338,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
-0.03314917127071815,-0.054729476446332526,-0.039401836684040625,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.00497512437810943,-0.02240456238361266,-0.010735232509426096,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.0531400966183575,0.0518040383978815,0.04706823027718543,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
-0.005102040816326481,-0.014494264859228334,-0.011305361305361306,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
-0.0050000000000000044,-0.009644670050761417,-0.006565656565656552,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.028037383177570097,0.010605542251111877,0.00793384735724656,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.019138755980861233,0.02054890921885999,0.018268597761685323,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.03913043478260869,0.05823813150545831,0.0489756722151089,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
-0.021390374331550777,-0.0372250423011844,-0.02342497136311561,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.014018691588784993,0.0039938556067588005,0.009050179211469445,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.02941176470588236,0.006248011338983561,0.016414141414141326,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.02898550724637683,0.023203169213355967,0.026804418206055947,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
-0.020408163265306034,-0.054651162790697594,-0.04959075589792972,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.009478672985782088,-0.01401107852720751,-0.006348129482457887,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.04975124378109452,0.0353321514235061,0.05301672640382327,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.0,-0.02440140308067712,-0.015384615384615441,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.005154639175257825,-0.012562381689898428,-0.010074626865671621,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
-0.025000000000000022,-0.052697813434009755,-0.04396941258255127,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.00990099009900991,0.006151628018743249,0.009090909090909038,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.005050505050505083,-0.014397211487459316,-0.006235254465790319,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.04020100502512558,0.024260694803330374,0.025520833333333326,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.028708133971291905,0.023112128146453137,0.028663003663003672,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
-0.009852216748768461,-0.0449293966623876,-0.03206792126324909,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.0,-0.017346159719041077,-0.009732824427480913,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.017857142857142794,-0.003910068426197455,0.005729693292888527,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.01449275362318836,0.005509079779636883,0.008076058065835112,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.05990783410138245,0.08032128514056225,0.06984371985336679,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.014851485148514865,-0.004348237073447447,0.0013370538309498414,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.0,-0.02388293446875156,-0.02266500622665013,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.01621621621621616,0.0072759342961085105,0.015782090250175407,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.05670103092783507,0.07212801528540724,0.06732649071358743,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.019704433497536922,-0.0021352693108418475,-0.006896551724137945,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
