segmentation_method,model,region,n_common_colors,common_colors,n_binary_decisions,n_patients,macro_accuracy,macro_precision,macro_recall,macro_f1,macro_balanced_accuracy,micro_accuracy,micro_precision,micro_recall,micro_f1,micro_balanced_accuracy,micro_TN,micro_FP,micro_FN,micro_TP,macro_f1_rank,micro_f1_rank
tip_middle_root_1_2_2,CNN,舌尖,4,"淡紅,鮮紅,暗紅,青紫",168,54,0.6716777408637874,0.30738304093567254,0.35357142857142854,0.25366300366300365,0.5351409969831022,0.6726190476190477,0.34615384615384615,0.46153846153846156,0.3956043956043956,0.5989862850327967,95,34,21,18,5,1
tip_middle_root_1_2_2,CNN,舌中,4,"淡紅,鮮紅,暗紅,青紫",166,53,0.4903656126482213,0.22511356516290726,0.5723443223443223,0.30547713156408807,0.525518630985383,0.4879518072289157,0.21839080459770116,0.5277777777777778,0.3089430894308943,0.5023504273504273,62,68,17,19,1,5
tip_middle_root_1_2_2,CNN,舌左邊,4,"淡紅,鮮紅,暗紅,青紫",175,54,0.48043478260869565,0.23631996658312449,0.46761363636363634,0.26882865562110847,0.47368777056277056,0.48,0.24444444444444444,0.4888888888888889,0.32592592592592595,0.4829059829059829,62,68,23,22,4,4
tip_middle_root_1_2_2,CNN,舌右邊,4,"淡紅,鮮紅,暗紅,青紫",171,53,0.47925880425880424,0.23756105006105005,0.4882575757575758,0.28755503755503753,0.4768105753273096,0.47953216374269003,0.2608695652173913,0.5333333333333333,0.35036496350364965,0.49682539682539684,58,68,21,24,2,3
tip_middle_root_1_2_2,CNN,舌根,4,"淡紅,鮮紅,暗紅,青紫",168,54,0.7148581261225677,0.24479166666666669,0.38782051282051283,0.28412356321839083,0.5746073779162014,0.7321428571428571,0.3170731707317073,0.43333333333333335,0.36619718309859156,0.6152173913043478,110,28,17,13,3,2
tip_middle_root_1_3_1,SVM,舌尖,4,"淡紅,鮮紅,暗紅,青紫",168,54,0.7380052602436323,0.40496411483253586,0.6535714285714286,0.4972222222222222,0.6914244095165148,0.7380952380952381,0.4603174603174603,0.7435897435897436,0.5686274509803921,0.7400119260584377,95,34,10,29,1,1
tip_middle_root_1_3_1,SVM,舌中,4,"淡紅,鮮紅,暗紅,青紫",166,53,0.7659530083443127,0.5252525252525252,0.5254120879120879,0.4697802197802197,0.6644243943396757,0.7650602409638554,0.46511627906976744,0.5555555555555556,0.5063291139240507,0.6893162393162393,107,23,16,20,2,3
tip_middle_root_1_3_1,SVM,舌左邊,4,"淡紅,鮮紅,暗紅,青紫",175,54,0.6970188151538266,0.392825311942959,0.5067234848484848,0.4240366541353383,0.6206236471861472,0.6971428571428572,0.43333333333333335,0.5777777777777777,0.49523809523809526,0.6581196581196581,96,34,19,26,4,4
tip_middle_root_1_3_1,SVM,舌右邊,4,"淡紅,鮮紅,暗紅,青紫",171,53,0.7083162708162708,0.40855263157894733,0.5598484848484848,0.4641860696847909,0.6527398733788187,0.7076023391812866,0.4576271186440678,0.6,0.5192307692307693,0.6730158730158731,94,32,18,27,3,2
tip_middle_root_1_3_1,SVM,舌根,4,"淡紅,鮮紅,暗紅,青紫",168,54,0.7192661643078844,0.18803418803418803,0.23717948717948717,0.1978021978021978,0.5017164208340679,0.7321428571428571,0.3076923076923077,0.4,0.34782608695652173,0.6021739130434782,111,27,18,12,5,5
tip_middle_root_1_3_1,Random Forest,舌尖,4,"淡紅,鮮紅,暗紅,青紫",168,54,0.7554471207087486,0.37436868686868685,0.3630952380952381,0.361875,0.597905398892241,0.7559523809523809,0.475,0.48717948717948717,0.4810126582278481,0.6621943947525343,108,21,20,19,4,4
tip_middle_root_1_3_1,Random Forest,舌中,4,"淡紅,鮮紅,暗紅,青紫",166,53,0.8071887351778656,0.6006944444444445,0.40956959706959706,0.4501915708812261,0.6475437499414481,0.8072289156626506,0.5666666666666667,0.4722222222222222,0.5151515151515151,0.6861111111111111,117,13,19,17,1,1
tip_middle_root_1_3_1,Random Forest,舌左邊,4,"淡紅,鮮紅,暗紅,青紫",175,54,0.7486270022883295,0.35978349673202614,0.3694128787878788,0.36378299120234603,0.5983969155844155,0.7428571428571429,0.5,0.4888888888888889,0.4943820224719101,0.6598290598290598,108,22,23,22,3,3
tip_middle_root_1_3_1,Random Forest,舌右邊,4,"淡紅,鮮紅,暗紅,青紫",171,53,0.7467069342069342,0.36886724386724384,0.39545454545454545,0.38035527690700105,0.6103678775585469,0.7426900584795322,0.5111111111111111,0.5111111111111111,0.5111111111111111,0.6682539682539682,104,22,22,23,2,2
tip_middle_root_1_3_1,Random Forest,舌根,4,"淡紅,鮮紅,暗紅,青紫",168,54,0.7646299096074449,0.2159090909090909,0.13942307692307693,0.16666666666666666,0.5088869463869464,0.7797619047619048,0.3333333333333333,0.23333333333333334,0.27450980392156865,0.5659420289855073,124,14,23,7,5,5
tip_middle_root_1_3_1,CNN,舌尖,4,"淡紅,鮮紅,暗紅,青紫",168,54,0.5892718715393134,0.22633928571428572,0.28214285714285714,0.17750850340136054,0.46735116768011503,0.5892857142857143,0.2413793103448276,0.358974358974359,0.28865979381443296,0.5089445438282647,85,44,25,14,5,5
tip_middle_root_1_3_1,CNN,舌中,4,"淡紅,鮮紅,暗紅,青紫",166,53,0.4944801273605621,0.23573369565217392,0.6304945054945055,0.32874396135265704,0.5485166474616603,0.4939759036144578,0.23333333333333334,0.5833333333333334,0.3333333333333333,0.5262820512820513,61,69,15,21,1,4
tip_middle_root_1_3_1,CNN,舌左邊,4,"淡紅,鮮紅,暗紅,青紫",175,54,0.5825832697686244,0.23392857142857143,0.43077651515151516,0.26756410256410257,0.5153882575757576,0.5771428571428572,0.30666666666666664,0.5111111111111111,0.38333333333333336,0.5555555555555556,78,52,22,23,4,2
tip_middle_root_1_3_1,CNN,舌右邊,4,"淡紅,鮮紅,暗紅,青紫",171,53,0.5737817362817362,0.31821556579621096,0.5170454545454546,0.328235974551764,0.5470499877066815,0.5672514619883041,0.31645569620253167,0.5555555555555556,0.4032258064516129,0.5634920634920635,72,54,20,25,2,1
tip_middle_root_1_3_1,CNN,舌根,4,"淡紅,鮮紅,暗紅,青紫",168,54,0.7378327337409495,0.25,0.32532051282051283,0.2759259259259259,0.5606060606060606,0.7559523809523809,0.34285714285714286,0.4,0.36923076923076925,0.6166666666666667,115,23,18,12,3,3
